#,music_id,song_name,artist_name,total_plays,download_ratio,favorite_ratio,playlist_ratio,country_reach,engagement_score
1,23455165,Pluto,Shallipopi,3990,10.6060,0.0396,0.0145,1,3.19867
2,37403686,Joy is coming,Fido,5976,6.0132,0.0505,0.0385,1,1.83126
3,32475125,APartii,Combosman X Togman,9612,4.1983,0.0553,0.1167,1,1.31131
4,26325473,Medicine after death,Mohbad,4019,4.0565,0.0475,0.0236,1,1.23872
5,25993243,puff and pass,Shalipopi,11088,4.0567,0.0425,0.0132,1,1.23416
6,29326228,Twe Twe (remix),Kizz Daniel,8614,4.0340,0.0358,0.0411,1,1.23363
7,44252816,Feel D Mood Bolt Man,Uzama Osahon,5790,3.9974,0.0591,0.0136,1,1.22128
8,27987741,APALA,Seyi vibez,4827,3.8742,0.0580,0.0317,1,1.18952
9,25867373,Waja,Seyi vibez,3321,3.8245,0.0566,0.0681,1,1.18494
10,27839275,Eseye grandi,King street,3767,3.6759,0.0871,0.0353,1,1.13987
11,24437233,Blacksherif Let Me Go MY Way,Black Sheriff,7700,3.6104,0.0929,0.0713,1,1.13291
12,27038877,Area Boys prayers,Seyi vibez,4425,3.7031,0.0298,0.0280,1,1.12861
13,24215772,Gbona,Zinoleesky,7899,3.4093,0.0457,0.0575,1,1.05420
14,26225045,I Dey Find You😭💔💡,Mohbad,9333,3.2883,0.1141,0.0510,1,1.03632
15,43977898,Alhaji Intro,So vinci,5020,3.2390,0.0620,0.0369,1,1.00151
