"artist_name","sum(play_score)","sum(engagement_score)","sum(download_score)","sum(geo_score)","sum(momentum_score)"
"Rick Ross","76921.2","508.79999999999995","5297.099999999999","52.199999999999996","82779.3"
"Alex Warren","69240.0","362.4","7185.0","37.199999999999996","76824.59999999999"
"Guchi","47637.200000000004","222.9","7350.599999999999","45.3","55256.00000000001"
"Major Lazer","18775.600000000002","76.8","2006.1","49.8","20908.3"
"PinkBoys","6252.8","30.299999999999997","571.8","50.1","6905.000000000001"
"pedro","5429.6","45.6","729.3","56.1","6260.600000000001"
"BakeOutBoyz","5299.200000000001","25.2","334.8","43.199999999999996","5702.400000000001"
"ACE ILLY","3405.2000000000003","9.9","377.09999999999997","11.7","3803.9"
"Traq","1332.0","2.4","185.7","19.5","1539.6000000000001"
"YPL73","880.0","13.5","12.9","24.0","930.4"
"𝙠𝙥𝙤𝙥+𝙧&𝙗","822.8000000000001","13.5","84.3","38.1","958.7"
"E","527.6","3.0","28.2","18.0","576.8000000000001"
"vehnorm","366.40000000000003","2.4","16.5","10.799999999999999","396.1"
"tipsy billionz","335.6","1.2","37.8","4.5","379.1"
"FRESHDEBUT BLOG","124.0","0.8999999999999999","23.7","4.5","153.1"
"Coyote","112.80000000000001","0.8999999999999999","4.5","4.5","122.70000000000002"
"SIR SAIF SKY GRAPHICS DESIGNE","98.80000000000001","1.5","27.0","3.9","131.20000000000002"
"stanfri25","75.2","0.3","7.8","11.4","94.7"
"DJ STANLEYFAIR","57.2","0.3","10.2","3.5999999999999996","71.3"
"KING SHELLA DJ REAL LYFE","35.2","0.6","2.4","6.8999999999999995","45.1"
"sranmanjot32","28.400000000000002","0.3","0.3","1.5","30.500000000000004"
"O.J ECLA PROMO PARIS","18.0","0.0","1.2","3.3","22.5"
"fbrytwtytotwtyfor","9.600000000000001","0.0","2.4","3.9","15.900000000000002"
"Crate Classics","8.8","0.0","2.1","3.5999999999999996","14.5"
"Dj Fatxo","2.8000000000000003","0.3","1.5","1.7999999999999998","6.3999999999999995"
"Lucky Sami","2.8000000000000003","0.0","0.0","1.5","4.300000000000001"
"Sav","1.2000000000000002","0.0","0.0","0.6","1.8000000000000003"
"Iqbal Qureshi","0.8","0.0","0.0","0.6","1.4"
"Abore","0.8","0.0","0.0","0.3","1.1"
"Funmilade Abiona","0.4","0.0","0.0","0.3","0.7"
