"artist","title","total_plays","total_engagements","unique_users"
"Chella","My Darling","1921857","9945","820825"
"Rema","Bout U","364355","8991","253488"
"Zinoleesky","Most Wanted","1738714","8620","738401"
"Black Sherif & Fireboy DML","So it Goes","1144601","8196","598478"
"Black Sherif","IRON BOY","0","8075","172100"
"Shallipopi","Laho","907604","8011","496180"
"Kunmie","Arike","2155506","7917","1057837"
"Black Sherif","The Victory Song","500118","7813","290273"
"Seyi Vibez","SHAOLIN","1730861","6663","1032160"
"Black Sherif","Soma Obi","631155","6335","274980"
"Black Sherif","Rebel Music","398006","5278","230856"
"Black Sherif","One","332801","5205","196727"
"Black Sherif","Sacrifice","423128","5116","176535"
"Black Sherif","Top of the Morning","312601","4719","167660"
"Black Sherif","Where Dem Boyz","275112","4362","146254"
"Black Sherif","Body","271518","4210","152006"
"Black Sherif & Seyi Vibez","Sin City","245456","4149","152645"
"Destiny4real","True","57580","4142","2747"
"Black Sherif","Iron Boy","245152","4094","143267"
"T.I BLAZE","Shakur (Deluxe)","0","4051","74922"
"Black Sherif","Dreamer","296499","4020","146962"
"T.I BLAZE","Trenches Luv","1343683","3978","562783"
"Black Sherif","Eye Open","244979","3932","127344"
"T.I Blaze, Tml Vibez","Hope","880953","3783","561727"
"Asake & Wizkid","MMS","953686","3679","637653"
"Black Sherif","Changes","200207","3648","118819"
"ODUMODUBLVCK","LEGOLAS","332080","3568","159604"
"Black Sherif","January 9th","224398","3535","158726"
"Didi B","Good Vibes","1231065","3491","597526"
"Kizz Daniel, Angelique Kidjo, Johnny Drille","Police","336890","3482","250537"
"T.I BLAZE","My Brother","833525","3464","397228"
"Fido","Joy is Coming","950951","3459","671491"
"Faceless ft Serøtonin","Venus","1187320","3431","627386"
"Seyi Vibez","HAPPY SONG","1333333","3384","749222"
"KOJO BLAK and Kelvyn Boy","Excellent","620128","3329","355221"
"Ayo Maff","Are you there?","1076759","3246","694624"
"Rema","Baby (Is it a Crime)","507563","3234","308422"
"Wizkid","Kese (Dance)","157753","3187","101317"
"Lasmid","Olivia","479986","3150","260442"
"Seyi Vibez","MARIO KART","1169037","3119","606502"
"Bella Shmurda, FOLA","Dangbana Riddim","272385","3067","191335"
"T.I BLAZE","Introduction","1028420","3066","407237"
"FOLA (feat. Bella Shmurda)","who does that?","1386967","3052","798646"
"Barry Jhay","Barrystar Vol. 1","0","2946","64721"
"SZA","Snooze","62703","2941","38747"
"Davido feat. ODUMODUBLVCK & Chike","Funds","98407","2931","56737"
"Zlatan & Fola","Get Better","1150633","2816","451388"
"Niphkeys & Ayo Maff","Imagine","791381","2756","406527"
"Naira Marley","Pxy Drip","571744","2749","414504"
"DJ Sumbody","Azul","42558","2639","20487"
"Famous Pluto","Na Scra","814700","2607","412780"
"Burna Boy","Bundle By Bundle","244417","2605","153768"
"ODUMODUBLVCK","PITY THIS BOY","199021","2479","102351"
"Teni","Money","648311","2437","435168"
"T.I BLAZE","Controlla","456816","2326","172337"
"Poco Lee, Shoday, Rahman Jago","Hey Jago","824828","2315","406061"
"1T1","Bouwéy","44350","2238","32249"
"Rybeena","New Taker","818249","2227","406920"
"Chief Priest","More Money","352420","2095","206068"
"BJ SHOW","FINEE","964957","2083","635230"
"BossMan Dlow","Mr Pot Scraper","18460","2042","10806"
"Amerado","Merry Go Round","217705","2015","146489"
"Johnny Drille, Fireboy DML","Angelina","67406","2010","58535"
"Davido","Be There Still","128290","1989","91557"
"Kweku Smoke","Young Boy","153400","1927","102384"
"Tml Vibez","Where I’m from","558263","1909","384039"
"ODUMODUBLVCK","THE MACHINE IS COMING","0","1877","11093"
"Didi B, Naira Marley","FATÚMATA","319819","1870","234101"
"Hyce, BoyPee and Brown Joel","Constantly","685516","1833","460431"
"BigXthaPlug and Bailey Zimmerman","All The Way (feat. Bailey Zimmerman)","81282","1808","37654"
"Black Sherif","Lord I'm Amazed","449718","1789","280425"
"Davido Ft ODUMODUBLVCK & CHIKE","Funds","677844","1746","468609"
"Wendy Shay","Too Late","191599","1737","118278"
"Zinoleesky","Abanikanda","326374","1728","242216"
"Olivetheboy","Convo","197194","1709","177600"
"Sola Allyson","Ìdúpẹ́","4359","1708","4042"
"Seyi Vibez (feat. NLE Choppa)","MACHO","535814","1697","325357"
"Kizz Daniel","Marhaba","669192","1691","494724"
"Lil Kesh","Vex For U","172022","1672","130063"
"King Paluta","For the Popping (Apicki)","311977","1669","224552"
"Berri-Tiga featuring Peruzzi","Relationship","507356","1662","351865"
"Tml Vibez, Dj 4kerty","Intro (Going)","601056","1660","362372"
"Hurricane Wisdom","Drugs Callin","125642","1658","56907"
"Fameye","Very Soon","232447","1635","171885"
"DJ Sonatty ft HypeGad 2gar","December Heat 2024 (Christmas Mixtape) || djsonatty.com","135691","1627","122230"
"Lady Gaga","Die With A Smile","149063","1621","84554"
"Diamond Jimma","Awuyewuye","594056","1615","408380"
"Rema","OZEBA","115005","1608","90055"
"T.I BLAZE","Dodge","384071","1605","149740"
"Joé Dwèt Filé & Burna Boy","4 Kampé II","228150","1599","120318"
"Kendrick Lamar","Not Like Us","206657","1597","130578"
"Asake","Military","346119","1569","206960"
"Ayra Starr","All The Love","99694","1554","50732"
"Kweku Smoke","Holy Ghost","255267","1546","187949"
"Barry Jhay","See me see God (SMSG)","207664","1545","130388"
"Adazion IJ","ZAM","305450","1532","166292"
"Quavo, Lil Baby","Legends","21455","1495","17116"
"Paul Akujor","SuperHero","13221","1487","1557"
"Seyi Vibez","Doha","466911","1464","317534"
"ATLXS","PASSO BEM SOLTO (Slowed)","99441","1456","40380"
