"artist","plays","unique_listeners","favorites","shares","country_count"
"Seyi Vibez","9767428","1749129","35454","0","218"
"Black Sherif","7551805","912371","87763","0","215"
"T.I BLAZE","5882374","1001791","23841","0","197"
"Asake","4728703","1002773","15199","0","216"
"Zinoleesky","3732720","1048921","16296","0","212"
"Burna Boy","3244167","755245","13111","0","200"
"YoungBoy Never Broke Again","3134612","221607","40614","0","167"
"Rema","3092826","922858","28015","0","208"
"Ayo Maff","3008856","972039","8371","0","205"
"Omah Lay","2731256","569204","9500","0","190"
