#,music_id,song_name,artist_name,total_plays,total_downloads,total_favorites,total_playlist_adds,total_reposts,country_count,download_play_ratio,favorite_play_ratio,playlist_play_ratio,repost_play_ratio,engagement_score
1,1,Have Mercy,Shane Eli,207866,7207622,612,5973,105,3,34.6744,0.0029,0.0287,0.0005,10.41186
2,23455165,Pluto,Shallipopi,3990,42318,158,58,25,1,10.6060,0.0396,0.0145,0.0063,3.19867
3,37403686,Joy is coming,Fido,5976,35935,302,230,35,1,6.0132,0.0505,0.0385,0.0059,1.83126
4,32475125,APartii,Combosman X Togman,9612,40354,532,1122,19,1,4.1983,0.0553,0.1167,0.0020,1.31131
5,31809979,juju,Big smur lee,32581,132987,1601,1435,86,1,4.0817,0.0491,0.0440,0.0026,1.25274
6,26325473,Medicine after death,Mohbad,4019,16303,191,95,17,1,4.0565,0.0475,0.0236,0.0042,1.23872
7,25993243,puff and pass,Shalipopi,11088,44981,471,146,50,1,4.0567,0.0425,0.0132,0.0045,1.23416
8,29326228,Twe Twe (remix),Kizz Daniel,8614,34749,308,354,32,1,4.0340,0.0358,0.0411,0.0037,1.23363
9,44252816,Feel D Mood Bolt Man,Uzama Osahon,5790,23145,342,79,14,1,3.9974,0.0591,0.0136,0.0024,1.22128
10,27987741,APALA,Seyi vibez,4827,18701,280,153,16,1,3.8742,0.0580,0.0317,0.0033,1.18952
11,25867373,Waja,Seyi vibez,3321,12701,188,226,7,1,3.8245,0.0566,0.0681,0.0021,1.18494
12,27839275,Eseye grandi,King street,3767,13847,328,133,15,1,3.6759,0.0871,0.0353,0.0040,1.13987
13,24437233,Blacksherif Let Me Go MY Way,Black Sheriff,7700,27800,715,549,42,1,3.6104,0.0929,0.0713,0.0055,1.13291
14,27038877,Area Boys prayers,Seyi vibez,4425,16386,132,124,15,1,3.7031,0.0298,0.0280,0.0034,1.12861
15,24215772,Gbona,Zinoleesky,7899,26930,361,454,36,1,3.4093,0.0457,0.0575,0.0046,1.05420
16,26225045,I Dey Find You😭💔💡,Mohbad,9333,30690,1065,476,27,1,3.2883,0.1141,0.0510,0.0029,1.03632
17,43977898,Alhaji Intro,So vinci,5020,16260,311,185,8,1,3.2390,0.0620,0.0369,0.0016,1.00151
18,26389845,ALIMI,Portable,38488,124963,1306,290,107,1,3.2468,0.0339,0.0075,0.0028,0.98676
19,11449286,Tears Over Beers,Modern Baseball,5332,395,132,16982,2,1,0.0741,0.0248,3.1849,0.0004,0.98517
20,26224955,Tribute For Mohbad💔🕯️,Shallipopi,8238,24478,637,470,21,1,2.9714,0.0773,0.0571,0.0025,0.93197
