#,geo_country,song_count,artist_count
1,NG,43692,16867
2,US,20239,6993
3,GH,12605,4635
4,JM,4037,1030
5,CA,2082,757
6,TZ,2055,944
7,HT,2050,784
8,GB,1670,979
9,PH,1555,815
10,SL,862,435
11,IN,821,220
12,XK,789,291
13,ZW,752,258
14,ML,745,120
15,SN,706,217
16,LR,686,316
17,TT,648,219
18,DO,545,267
19,BJ,522,271
20,MX,484,268
21,PR,470,239
22,AL,465,185
23,DE,441,249
24,RW,438,195
25,CM,436,263
26,CN,329,57
27,FR,327,188
28,GR,326,69
29,GY,324,129
30,KE,302,168
31,GM,268,92
32,BB,248,120
33,UG,235,147
34,ZA,233,161
35,ZM,191,106
36,AE,157,84
37,MW,151,68
38,RS,136,82
39,VC,116,58
40,TG,108,63
41,LY,104,56
42,AG,102,42
43,GD,96,49
44,BS,85,54
45,BZ,79,39
46,CI,78,41
47,CD,75,48
48,KM,68,16
49,NL,48,28
50,AR,45,37
51,EG,43,28
52,MK,41,29
53,MA,39,23
54,PK,36,27
55,SC,33,9
56,LC,32,20
57,CL,28,21
58,ES,26,20
59,PE,26,22
60,SS,24,14
61,AU,23,11
62,CO,22,15
63,BA,21,9
64,CY,21,11
65,GN,18,12
66,BE,17,5
67,IE,16,12
68,BF,15,12
69,IT,14,10
70,LT,14,5
71,KY,13,10
72,EC,11,10
73,MY,10,8
74,NE,10,7
75,VE,10,9
76,KN,9,6
77,TR,9,5
78,CG,8,2
79,NZ,8,1
80,SK,8,2
81,BI,7,7
82,BR,7,6
83,ID,7,3
84,DM,6,5
85,FI,6,5
86,NP,6,2
87,GT,5,5
88,PL,5,4
89,RO,5,5
90,HN,4,4
91,VG,4,4
92,BD,3,3
93,CZ,3,3
94,RU,3,3
95,BO,2,2
96,BW,2,2
97,DZ,2,2
98,IQ,2,2
99,JP,2,2
100,MN,2,2
101,QA,2,2
102,SG,2,2
103,TW,2,1
104,,1,1
105,CH,1,1
106,GA,1,1
107,HR,1,1
108,KR,1,1
109,TN,1,1
110,VN,1,1
