"artist_name","song_name","num_play_30s","num_downloads","song_source"
"Rybeena","New Taker","99066","1940","feed"
"PARTYNEXTDOOR","N o  C h i l l","96371","5836","feed"
"DONWONGFILMS","Pluto & YK Niece - Whim Whamiee","96249","3410","ugc"
"Bella Shmurda","Dangbana Riddim","95789","4428","feed"
"BigXthaPlug","All The Way (feat. Bailey Zimmerman)","95139","6881","feed"
"s4x8cxzntm","Decisions","94617","5703","ugc"
"BloodHound Lil Jeff","Triple 3","93466","3886","ugc"
"Kizz Daniel","Secure","92990","4915","feed"
"BigXthaPlug","Mmhmm","92306","5960","feed"
"Lil Baby","By Myself","92123","2598","feed"
"starstar","nope your too late I already died - wifiskeleton","90060","2729","ugc"
"T.I BLAZE","Hope","89898","1899","feed"
"Bhadboi OML","Alade Ade","88673","3104","feed"
"YoungBoy Never Broke Again","Sneaking","87895","2193","feed"
"Slap Ent🤕","Death enclaimed","87427","4705","ugc"
"Zinoleesky","2BABA FLEX","86687","1530","feed"
"Niphkeys","Imagine","84404","3153","feed"
"BJ SHOW","FINEE","83348","1968","ugc"
"King Von","Armed & Dangerous","83045","5482","feed"
"Trippie Redd","Forever Ever (feat. Young Thug & Reese LAFLARE)","82230","4049","feed"
"BigXthaPlug","Back On My BS","81937","3640","feed"
"YoungBoy Never Broke Again","Nevada","80169","5507","feed"
"Neton Vega","Loco","79688","2351","feed"
"Big Yavo","Webbie Flow","79439","5358","feed"
"Lil Tjay","F.N","79191","6165","ugc"
"Black Sherif","So it Goes","78724","2970","feed"
"Raq Baby","What They Told Me","78380","1979","feed"
"YoungBoy Never Broke Again","Where I Been","78121","1829","feed"
"John","WILDFLOWER","77746","5229","ugc"
"Hurricane Wisdom","On God","77654","3447","feed"
"NBAYOUNGBOY","Hiding Pounds","77616","3271","ugc"
"Ella Mai","Little Things","77341","1853","feed"
"Young Thug","Money On Money (feat. Future)","77081","4152","feed"
"Lil Rae","No Rentals (feat. Big Yavo)","76603","3070","feed"
"Quando Rondo","ABG","76409","4715","ugc"
"MO3","Broken Love","76158","8584","feed"
"PLUTO","What Da Fuk","75095","1588","feed"
"Tee Grizzley","First Day Out","74482","5238","ugc"
"Rockout Danny","Back Of My Mind (feat. Nino Paid)","74175","3691","feed"
"YoungBoy Never Broke Again","4 Sons Of A King","73963","3828","ugc"
"ComplexPrince","All Girls Are The Same","73414","6264","ugc"
"Real Boston Richey","Help Me","72970","2359","feed"
"NoCap","Ghetto Angels","72175","4723","ugc"
"𝕰𝖒𝖒𝖆 𝕹𝖚𝖊𝖑 ♱","Passport Junkie","71358","5068","ugc"
"BigXthaPlug","Leave Me Alone","71176","3433","feed"
"YoungBoy Never Broke Again","All In","71069","5788","feed"
"Rellease","Venus","69872","2252","ugc"
"BigXthaPlug","The Largest","69538","3726","feed"
"YoungBoy Never Broke Again","Self Control","69150","5400","feed"
"YoungBoy Never Broke Again","Untouchable","69137","5311","feed"
"Zinoleesky","SUIT & TIE","68745","1109","feed"
"SAMAD","Lameda","68026","3050","ugc"
"Juice WRLD","Legends","67695","6225","ugc"
"Sonder","What You Heard","67555","3261","ugc"
"Barry Jhay","The Lord's prayer","67449","1445","feed"
"Kodak Black","No Flocking","66904","5086","ugc"
"Diablo","Not Like Us","66294","5469","ugc"
"OLAMIDE","Kai!","64916","5154","feed"
"YoungBoy Never Broke Again","We Shot Him In His Head Huh","64157","2602","ugc"
"PARTYNEXTDOOR","M a k e  I t  T o  T h e  M o r n i n g","63929","3104","feed"
"Lil Durk","Hanging With Wolves","63694","5211","feed"
"Zinoleesky","MOVIE","63654","831","feed"
"Black Sherif","Soma Obi","63294","2362","feed"
"Tml Vibez","Where I’m from","63153","2251","feed"
"YoungBoy Never Broke Again","Drug Addiction","62843","4226","feed"
"YoungBoy Never Broke Again","Valuable Pain","62767","4753","feed"
"Key Glock","Let's Go","62424","3877","feed"
"Cstentertainment","Bachelor","62258","2789","ugc"
"Lil Baby","Dum, Dumb, and Dumber","61971","1663","feed"
"Hurricane Wisdom","Anyways","61526","3058","feed"
"XXXTENTACION","Fuck Love","61397","4572","feed"
"YFG Fatso","Together","60441","2257","feed"
"YoungBoy Never Broke Again","Life Support","60258","4128","feed"
"YoungBoy Never Broke Again","Gravity","60229","4118","feed"
"Soul Reaper","How I been","60096","3165","ugc"
"Murda Beatz","Winter's Over","59910","4424","feed"
"Screwly G","Fein For Murder","59834","2397","feed"
"Raq Baby","Stick Up","59786","3287","feed"
"Zinoleesky","STEPH CURRY","59645","838","feed"
"Armanii","8:00 PM","59342","2565","feed"
"Offical Bruh App","NBA Young Boy - Gangsta fever","59199","1962","ugc"
"Xrod","street runner","58821","5886","ugc"
"Kizz Daniel","Marhaba","58637","1923","feed"
"UptownNoLiving","BlackBall","58589","3201","ugc"
"Seyi Vibez","MACHO","58582","1520","feed"
"BRICKSandSTICKS","Heart & Soul","58218","3263","ugc"
"Kodaktop","Shots Callin","57882","4902","ugc"
"Raq Baby","Crashed on Camera","57695","1526","feed"
"Diamond Jimma","Awuyewuye","57596","1475","feed"
"Silverbakz","Tunnel Vision","57593","4451","ugc"
"Chuckyy","N***a Poetry","57593","2122","feed"
"Tml Vibez","Intro (Going)","57541","921","feed"
"BigXthaPlug","Therapy Session","57337","1898","feed"
"DeeBaby","Ting Ting","57276","2708","feed"
"Hurricane Wisdom","Salute","57054","1839","feed"
"G Herbo","Went Legit","56631","1183","feed"
"YoungBoy Never Broke Again","Missing Everything","56613","1291","feed"
"Kizz Daniel","Black Girl Magic","56454","2288","feed"
"Lil Baby","So Sorry","56227","840","feed"
"BossMan Dlow","Hit","56123","2277","feed"
