"artist_name","song_name","playlist_adds","reposts","downloads"
"Davido","With You","74526","3745","18575"
"Seyi Vibez","SHAOLIN","57977","658","553758"
"Asake","MMS","52928","307","237266"
"Fola","who does that?","52542","564","407521"
"Chella","My Darling","51595","1495","895800"
"Ayo Maff","Are you there?","51046","327","279655"
"Black Sherif","So it Goes","49953","575","418080"
"Black Sherif","Soma Obi","49465","634","436072"
"Black Sherif","Sacrifice","48862","723","560018"
"Barry Jhay","See me see God (SMSG)","48672","1034","884509"
"T.I BLAZE","Hope","45637","565","276313"
"King Paluta","For the Popping (Apicki)","45203","277","186642"
"Zinoleesky","Most Wanted","43775","312","313686"
"BJ SHOW","FINEE","43764","242","238905"
"Kunmie","Arike","43566","510","511233"
"Kizz Daniel","Marhaba","40410","126","171154"
"Kweku Smoke","Holy Ghost","39832","139","138757"
"Rellease","Venus","38959","548","262133"
"Didi B","Good Vibes","38193","212","232000"
"BoyPee","Constantly","36703","154","160504"
"Mr Drew","OMG","34995","189","165351"
"Tml Vibez","Where I’m from","34654","352","249532"
"Seyi Vibez","HAPPY SONG","34622","235","323766"
"Diamond Jimma","Awuyewuye","33647","124","143272"
"Nasboi","Could This Be Love","32750","122","139462"
"Seyi Vibez","Doha","32635","266","179534"
"Kweku Smoke","Agyekum","31534","178","130979"
"Rybeena","New Taker","31245","539","277915"
"Kojo Blak","Excellent","31094","320","237113"
"YOUNG JP","Joy is coming","30871","5","1312"
"Wendy Shay","Too Late","30472","444","385021"
"YOUNG JP","Long life long mony","29993","0","236"
"YOUNG JP","Too Much love For My Mom","29988","2","390"
"Darkoo","Favourite Girl (with Rema)","29276","116","157291"
"Bnxn","Bae Bae","29117","101","137112"
"VEŌLA","Odometer","28948","171","71830"
"Seyi Vibez","Cana","28852","243","187564"
"olivetheboy","Stay","28572","205","144932"
"phillytyrone10","Akon - I'm So Paid ft. Lil Wayne, Young Jeezy (Official Video)","27764","13","19370"
"Roddy Ricch","Down Below","27575","7","22234"
"Seyi Vibez","MARIO KART","27575","224","214745"
"Hicham Hamma","Baby Please Dont Cry","27372","26","17678"
"Muyeez","Instagram","27356","234","169013"
"YOUNG JP","Amapiano","27192","0","206"
"T.I BLAZE","Introduction","27084","422","185175"
"Booka600","Relentless","27008","14","15774"
"Tml Vibez","Intro (Going)","26852","360","139529"
"Akon","Don't Matter","26614","12","394"
"Vybz Kartel","God is The Greatest","26604","146","126035"
"DJ OP Dot","Best Of Seyi Vibez 2.0","26551","27","25113"
"Fameye","Very Soon","26486","127","121325"
"YOUNG JP","2Pac","26440","8","1264"
"Ayo Maff","7 Days","26119","101","155220"
"YOUNG JP","Do you love baby","25700","0","257"
"Black Sherif","The Victory Song","25676","260","226666"
"Fameye","Control","24979","71","80327"
"Tml Vibez","Wavy","24708","158","90218"
"Fireboy DML","iseoluwa","24517","83","102754"
"Fido","Joy is Coming","24205","198","261219"
"YOUR FAV SONG","Dede","24194","196","102713"
"King Paluta","Makoma","24079","138","103277"
"King Paluta","Foko !","23954","588","419033"
"Black Sherif","Rebel Music","23817","89","112956"
"Sarkodie","AMEN","23500","45","64865"
"EMPIRE","Run","23290","80","110716"
"Zinoleesky","GIFTED","22828","173","155578"
"KiDi","Lomo Lomo","22633","88","135450"
"Kweku Smoke","Hold Tight","22611","94","103375"
"O'Kenneth","LONELY ROAD","21973","67","72414"
"SHATTA WALE","MINAMINO SIN","21782","82","91448"
"KHAID","Run Away (OMALICHA)","21719","102","137611"
"Lasmid","Olivia","21495","402","224552"
"Balloranking","7.5G","20665","175","105053"
"Black Sherif","Top of the Morning","20529","175","172262"
"Black Sherif","January 9th","20508","69","88261"
"BLACKO","Fefe Ne Fe","20235","120","67705"
"olivetheboy","Bend","20129","98","181342"
"Kwadwo Blexx","LORD I’M AMAZED","20031","120","59829"
"NaijHub_pr","Awuke","19826","136","111391"
"Sarkodie","Country Side","19653","60","76230"
"Ruger","Toma Toma","19302","146","119345"
"Niphkeys","Imagine","19269","127","172009"
"Fola","lost","18807","621","586703"
"Kweku Smoke","Young Boy","18796","79","91595"
"King Paluta","Aseda","18533","95","75656"
"Asake","Lonely At The Top","18243","66","134619"
"T.I BLAZE","Trenches Luv","18022","442","244051"
"Team Eternity  Ghana","Defe Defe","17860","112","56782"
"Bhadboi OML","Wasiu Ayinde","17685","1002","759214"
"DJ Sonatty Mandem","December Heat 2024 (Christmas Mixtape) || djsonatty.com","17566","375","230913"
"JeriQ","Jehovah","17462","75","104497"
"Black Sherif","Eye Open","17423","92","123126"
"Amerado","Playman","17242","67","72626"
"Kuami Eugene","Abena","17210","38","52075"
"Black Sherif","Dreamer","17157","71","109957"
"Tiwa Savage","Kilimanjaro","17063","45","73834"
"Omah Lay","reason","16927","145","131958"
"Zinoleesky","Abanikanda","16861","94","129545"
"Black Sherif","Where Dem Boyz","16615","61","100573"
"Bhadboi OML","Testimony","16346","173","110649"
